Date,Open,High,Low,Close,Adj Close,Volume
2007-12-24,148.820007324219,149.479995727539,148.479995727539,149.229995727539,111.163154602051,45601400
2007-12-26,148.649993896484,149.679992675781,148.5,149.550003051758,111.401573181152,67093100
2007-12-27,149.020004272461,149.029998779297,147.320007324219,147.669998168945,110.001167297363,122981700
2007-12-28,148.539993286133,148.610000610352,146.899993896484,147.300003051758,109.72550201416,116398100
2007-12-31,147.100006103516,147.610000610352,146.059997558594,146.210006713867,108.91357421875,108126800
2008-01-02,146.529998779297,146.990005493164,143.880004882813,144.929992675781,107.960067749023,204935600
2008-01-03,144.910003662109,145.490005493164,144.070007324219,144.860000610352,107.907913208008,125133300
2008-01-04,143.339996337891,143.440002441406,140.910003662109,141.309997558594,105.263481140137,232330900
2008-01-07,141.809997558594,142.229995727539,140.100006103516,141.190002441406,105.174087524414,234991000
2008-01-08,142.080001831055,142.899993896484,138.440002441406,138.910003662109,103.475639343262,326365700
2008-01-09,139.089996337891,140.789993286133,137.699996948242,140.369995117188,104.563262939453,301824900
2008-01-10,139.679992675781,142.800003051758,139.369995117188,141.289993286133,105.248603820801,335701200
2008-01-11,140.779998779297,141.899993896484,139,140.149993896484,104.399383544922,267076600
2008-01-14,141.160003662109,141.860000610352,140.399993896484,141.279998779297,105.241157531738,170365500
2008-01-15,139.789993286133,141.490005493164,137.899993896484,138.169998168945,102.924446105957,239940100
2008-01-16,137.360000610352,139.119995117188,136.279998779297,136.979995727539,102.037979125977,378802600
2008-01-17,137.809997558594,137.880004882813,132.929992675781,133.429992675781,99.3935623168945,397892600
2008-01-18,134.740005493164,135.020004272461,131.100006103516,132.059997558594,98.3730545043945,348561500
2008-01-22,127.209999084473,132.429992675781,126,130.720001220703,97.3748931884766,435923700
2008-01-23,127.089996337891,134.190002441406,126.839996337891,133.860000610352,99.7138748168945,511913000
2008-01-24,134.479995727539,135.460006713867,133.309997558594,134.990005493164,100.555641174316,259949300
2008-01-25,136.509994506836,136.759994506836,132.600006103516,133.039993286133,99.1030426025391,269603900
2008-01-28,133.259994506836,135.520004272461,132.059997558594,135.240005493164,100.741897583008,217934600
2008-01-29,136.100006103516,136.449996948242,134.880004882813,135.910003662109,101.240997314453,168968300
2008-01-30,135.580001831055,138.539993286133,134.600006103516,134.910003662109,100.496032714844,334939200
2008-01-31,133.399993896484,138.539993286133,133.199996948242,137.369995117188,102.328491210938,343680800
2008-02-01,137.940002441406,139.610000610352,137.520004272461,139.580001831055,103.974784851074,206843600
2008-02-04,139.210006713867,139.300003051758,137.639999389648,137.820007324219,102.663734436035,124694300
2008-02-05,135.940002441406,136.25,133.669998168945,134.130004882813,99.9150085449219,286882500
2008-02-06,134.580001831055,135.25,132.410003662109,133.050003051758,99.1105270385742,250792900
2008-02-07,131.800003051758,134.789993286133,131.729995727539,133.929992675781,99.7660446166992,297368100
2008-02-08,133.089996337891,134.220001220703,132.100006103516,133.070007324219,99.1254272460938,221643500
2008-02-11,133.100006103516,134.229995727539,132.039993286133,133.75,99.631965637207,188576300
2008-02-12,134.910003662109,136.309997558594,133.979995727539,134.990005493164,100.555641174316,256654400
2008-02-13,136.009994506836,137.059997558594,135.139999389648,136.369995117188,101.583641052246,181967800
2008-02-14,136.949996948242,137,134.789993286133,135.169998168945,100.689727783203,215207200
2008-02-15,134.5,135.220001220703,133.910003662109,135.139999389648,100.667388916016,154110300
2008-02-19,136.720001220703,136.889999389648,134.610000610352,135.520004272461,100.950439453125,145190000
2008-02-20,133.990005493164,136.550003051758,133.759994506836,135.919998168945,101.248413085938,220085700
2008-02-21,136.660003662109,137.009994506836,134.070007324219,134.789993286133,100.406646728516,201051200
2008-02-22,134.970001220703,135.850006103516,132.860000610352,135.619995117188,101.024940490723,205491000
2008-02-25,135.539993286133,137.649993896484,134.779998779297,137.330001831055,102.29874420166,190107000
2008-02-26,136.75,138.949996948242,136.5,138.360000610352,103.065940856934,212420700
2008-02-27,137.559997558594,139.139999389648,137.410003662109,138.220001220703,102.961685180664,168395800
2008-02-28,137.240005493164,137.960006713867,136.550003051758,136.869995117188,101.956069946289,170831100
2008-02-29,135.600006103516,135.679992675781,132.779998779297,133.820007324219,99.6840744018555,252715200
2008-03-03,133.139999389648,133.809997558594,132.240005493164,133.5,99.4457397460937,189483500
2008-03-04,132.229995727539,133.399993896484,130.990005493164,132.990005493164,99.0658493041992,282513100
2008-03-05,133.419998168945,134.770004272461,132.339996337891,133.830001831055,99.691535949707,270681400
